ORIG_AMT,ORIG_TRM,NUM_BO,DTI,PROP_TYP,reperformance_flag,Loan.Age,FicoBkt,LAST_VAL,MLTV,Default_bin
111,360,2,40,SF,0,21,780,171.647975,65,0
117,360,1,50,SF,0,23,740,174.233158,70,0
195,360,2,45,SF,0,8,700,854.0899045,25,0
208,360,1,25,CO,0,9,740,284.6966348,75,0
108,360,2,35,SF,1,8,780,175.4205955,65,0
115,180,1,55,SF,1,14,660,176.5218292,65,0
131,360,2,25,SF,0,43,740,192.5812928,70,0
180,360,1,45,SF,0,8,700,210.8255533,85,0
157,360,2,50,SF,0,8,780,170.6165561,95,0
128,180,2,35,SF,0,30,700,198.3002421,60,0
128,360,2,35,SF,0,13,740,142.1288431,90,0
38,120,1,45,SF,0,27,660,106.1724911,35,0
88,180,2,40,SF,0,13,740,420.4148587,25,0
138,360,1,55,SF,0,25,700,174.9307991,80,0
145,360,2,35,SF,0,13,780,242.8823865,60,0
123,360,2,35,SF,0,24,740,159.5517214,80,1
84,344,2,15,SF,0,15,840,139.3342657,60,0
245,360,2,50,SF,0,11,780,286.9570032,85,0
150,360,2,40,SF,0,16,660,172.8582996,90,0
74,360,1,35,SF,0,22,780,102.0903626,75,0
128,360,2,45,SF,0,6,780,165.9111482,80,0
97,240,2,35,SF,0,32,660,165.9052845,55,0
188,180,2,40,SF,0,5,700,395.879936,50,0
85,360,2,25,SF,0,20,740,164.9414299,55,0
174,360,2,50,SF,0,24,700,213.7038998,85,0
176,360,2,30,SF,0,28,780,295.332475,60,0
96,360,2,35,SF,0,32,780,144.4915302,65,0
120,360,1,50,CO,0,14,780,152.2392959,80,0
130,360,1,35,SF,0,12,780,235.0014845,55,0
227,360,2,35,SF,1,43,620,351.8782005,65,0
176,360,2,45,SF,0,4,840,238.2572402,75,0
35,180,2,35,SF,1,41,740,87.00728378,40,0
24,360,1,60,SF,1,47,700,48.17466833,50,0
136,360,1,45,CO,1,28,660,167.0329332,80,0
180,360,1,30,SF,1,5,740,364.9956857,50,0
200,360,2,55,SF,0,15,740,274.8071028,75,0
237,360,2,45,SF,0,6,700,267.6916583,90,0
200,360,2,50,SF,0,16,780,492.8304858,45,0
65,360,1,45,CO,1,40,660,116.3430962,55,0
55,360,2,25,SF,0,17,780,82.79107113,70,0
79,360,1,45,SF,0,13,700,112.2898726,70,0
39,180,2,40,SF,0,27,700,72.73027091,50,0
56,360,2,25,SF,1,133,660,95.76496473,55,0
170,360,2,40,SF,0,25,740,223.7849918,75,0
75,360,1,35,SF,0,16,700,92.25583405,85,0
195,360,2,45,SF,0,15,780,403.6938132,50,0
154,360,1,25,SF,0,26,780,258.4159156,60,0
64,360,1,45,SF,1,21,660,81.12732712,80,0
75,360,1,15,CO,0,11,780,121.9347312,65,0
112,360,1,40,SF,0,22,700,182.2624072,65,0
253,360,2,55,SF,1,24,700,579.6316762,45,0
194,360,1,40,SF,0,15,700,266.1385167,75,0
123,360,2,30,SF,1,32,700,176.7406227,70,0
125,360,2,45,SF,0,48,740,272.1732078,45,0
78,360,2,55,SF,0,34,740,324.6418047,25,0
114,360,2,35,SF,0,10,840,150.3931395,80,0
88,360,1,60,CO,0,20,780,136.6348291,65,0
25,360,2,40,CO,0,25,700,56.80347933,40,0
100,360,2,45,SF,0,35,700,167.8025426,60,0
166,360,2,35,SF,0,25,620,238.925152,70,0
58,360,1,20,CO,0,15,780,128.2008972,35,0
171,360,1,50,SF,0,15,740,211.8365026,80,0
192,360,2,45,SF,0,32,740,284.3385778,70,0
64,360,1,25,SF,1,16,660,86.57123771,45,0
156,360,2,40,SF,0,13,700,205.166,80,0
190,360,1,40,SF,1,17,700,641.2363736,30,0
125,360,2,35,CO,0,19,700,158.4518108,80,0
150,360,1,30,SF,0,5,700,325.9488539,50,0
75,360,1,40,SF,0,38,740,165.1153859,45,0
102,360,1,50,SF,0,23,660,134.8672695,75,0
